,kV,kVAr,µF,Hz,Amp,L (mm),L1 (mm),W (mm),H (mm),H2 (mm),X (mm),Stud (mm),Weight (kg),Phases,Bushing,Fuse
B25161D0300A006,4.8,300,41.5,50,62.5,350,404,145,550,200,230,M16,43,1,2,Internal
B25161D0400A006,4.8,400,55.3,50,83.33,350,404,160,650,200,230,M16,54,1,2,Internal
B25161F0100A006,6.35,100,7.9,50,15.75,350,404,120,325,100,230,M12,24,1,2,Internal
B25161F0150A006,6.35,150,11.8,50,23.62,350,404,120,425,200,230,M12,30,1,2,Internal
B25161F0200A006,6.35,200,15.8,50,31.5,350,404,120,525,200,230,M16,36,1,2,Internal
B25161F0250A006,6.35,250,19.7,50,39.37,350,404,145,500,200,230,M16,40,1,2,Internal
B25161F0300A006,6.35,300,23.7,50,47.24,350,404,145,600,200,230,M16,47,1,2,Internal
B25161F0400A006,6.35,400,31.6,50,62.99,350,404,160,675,200,230,M16,57,1,2,Internal
B25161F0100A007,6.6,100,7.3,50,15.15,350,404,120,300,100,230,M12,23,1,2,Internal
B25161F0150A007,6.6,150,11,50,22.73,350,404,120,400,200,230,M12,29,1,2,Internal
B25161F0200A007,6.6,200,14.6,50,30.3,350,404,120,475,200,230,M16,33,1,2,Internal
B25161F0250A007,6.6,250,18.3,50,37.88,350,404,120,575,200,230,M16,39,1,2,Internal
B25161F0300A007,6.6,300,21.9,50,45.45,350,404,145,550,200,230,M16,43,1,2,Internal
B25161F0400A007,6.6,400,29.2,50,60.61,350,404,160,625,200,230,M16,53,1,2,Internal
B25161G0150A006,7.62,150,8.2,50,19.69,350,404,120,450,200,230,M12,31,1,2,Internal
B25161G0200A006,7.62,200,11,50,26.25,350,404,120,525,200,230,M12,36,1,2,Internal
B25161G0250A006,7.62,250,13.7,50,32.81,350,404,145,525,200,230,M16,42,1,2,Internal
B25161G0300A006,7.62,300,16.5,50,39.37,350,404,145,600,200,230,M16,47,1,2,Internal
B25161G0400A006,7.62,400,21.9,50,52.49,350,404,160,675,200,230,M16,57,1,2,Internal
B25161G0600A006,7.62,600,32.9,50,78.74,350,404,185,900,300,230,M16,84,1,2,Internal
B25161B0050C006,2.4,50,23,60,12.03,343,397,115,175,50,115,M12,16,1,2,Internal
B25161B0100C006,2.4,100,46.1,60,24.06,343,397,115,250,100,115,M12,20,1,2,Internal
B25161B0150C006,2.4,150,69.1,60,36.09,343,397,115,325,100,115,M16,24,1,2,Internal
B25161B0200C006,2.4,200,92.2,60,48.11,343,397,115,400,200,115,M16,28,1,2,Internal
B25161B0250C006,2.4,250,115.2,60,60.14,343,397,115,475,200,115,M16,32,1,2,Internal
B25161B0300C006,2.4,300,138.2,60,72.17,343,397,115,550,200,115,M16,37,1,2,Internal
B25161B0350C006,2.4,350,161.3,60,84.2,343,397,138,525,200,115,M16,40,1,2,Internal
B25161B0400C006,2.4,400,184.3,60,96.23,343,397,138,600,200,115,M16,45,1,2,Internal
B25161D0050C006,4.16,50,7.7,60,6.94,343,397,115,175,50,115,M12,16,1,2,Internal
B25161D0100C006,4.16,100,15.3,60,13.88,343,397,115,250,100,115,M12,20,1,2,Internal
B25161D0150C006,4.16,150,23,60,20.82,343,397,115,325,100,115,M12,24,1,2,Internal
B25161D0200C006,4.16,200,30.7,60,27.76,343,397,115,425,200,115,M12,30,1,2,Internal
B25161D0250C006,4.16,250,38.3,60,34.7,343,397,115,500,200,115,M16,34,1,2,Internal
B25161D0300C006,4.16,300,46,60,41.64,343,397,115,575,200,115,M16,38,1,2,Internal
B25161D0350C006,4.16,350,53.7,60,48.58,343,397,138,550,200,115,M16,42,1,2,Internal
B25161D0400C006,4.16,400,61.3,60,55.52,343,397,138,625,200,115,M16,47,1,2,Internal
B25161D0050C007,4.8,50,5.8,60,6.01,343,397,115,175,50,115,M12,16,1,2,Internal
B25161D0100C007,4.8,100,11.5,60,12.03,343,397,115,250,100,115,M12,20,1,2,Internal
B25161D0150C007,4.8,150,17.3,60,18.04,343,397,115,325,100,115,M12,24,1,2,Internal
B25161D0200C007,4.8,200,23,60,24.06,343,397,115,400,200,115,M12,28,1,2,Internal
B25161D0250C007,4.8,250,28.8,60,30.07,343,397,115,500,200,115,M16,34,1,2,Internal
B25161D0300C007,4.8,300,34.6,60,36.09,343,397,115,575,200,115,M16,38,1,2,Internal
B25161D0350C007,4.8,350,40.3,60,42.1,343,397,138,525,200,115,M16,40,1,2,Internal
B25161D0400C007,4.8,400,46.1,60,48.11,343,397,138,600,200,115,M16,45,1,2,Internal
B25161F0100A008,6.6,100,6.1,60,15.15,350,404,120,300,100,230,M12,23,1,2,Internal
B25161F0150A008,6.6,150,9.1,60,22.73,350,404,120,350,100,230,M12,26,1,2,Internal
B25161F0200A008,6.6,200,12.2,60,30.3,350,404,120,425,200,230,M12,30,1,2,Internal
B25161F0300A008,6.6,300,18.3,60,45.45,350,404,120,575,200,230,M16,39,1,2,Internal
B25161F0400A008,6.6,400,24.4,60,60.61,350,404,145,600,200,230,M16,47,1,2,Internal
B25161G0150A007,7.2,150,9.2,50,20.83,350,404,120,300,100,230,M12,23,1,2,Internal
B25161G0200A007,7.2,200,12.3,50,27.78,350,404,120,400,200,230,M12,29,1,2,Internal
B25161G0250A007,7.2,250,15.4,50,34.72,350,404,120,450,200,230,M12,31,1,2,Internal
B25161G0300A007,7.2,350,21.5,50,48.61,350,404,120,575,200,230,M16,39,1,2,Internal
