,kV,kVAr,µF,Hz,Amp,L (mm),L1 (mm),W (mm),H (mm),H2 (mm),X (mm),Stud (mm),Weight (kg),Phases,Bushing,Fuse
B25161C0050B009,3.83,50,9,60,13.1,343,397,115,175,50,230,M12,14,1,2,external
B25161C0100B009,3.83,100,18.1,60,26.1,343,397,115,250,100,230,M12,19,1,2,external
B25161C0150B009,3.83,150,27.1,60,39.2,343,397,115,325,100,230,M16,23,1,2,external
B25161C0200B009,3.83,200,36.2,60,52.2,343,397,115,425,200,230,M16,29,1,2,external
B25161C0250B009,3.83,250,45.2,60,65.3,343,397,115,500,200,230,M16,33,1,2,external
B25161C0300B009,3.83,300,54.3,60,78.3,343,397,115,600,200,230,M16,39,1,2,external
B25161C0400B009,3.83,400,72.4,60,104.4,343,397,138,625,200,230,M16,46,1,2,external
B25161D0050B006,4.16,50,7.7,60,12,343,397,115,150,50,230,M12,13,1,2,external
B25161D0100B006,4.16,100,15.3,60,24,343,397,115,225,100,230,M12,17,1,2,external
B25161D0150B006,4.16,150,23,60,36.1,343,397,115,275,100,230,M12,20,1,2,external
B25161D0200B006,4.16,200,30.7,60,48.1,343,397,115,400,200,230,M16,27,1,2,external
B25161D0250B006,4.16,250,38.3,60,60.1,343,397,115,450,200,230,M16,30,1,2,external
B25161D0350B006,4.16,350,53.7,60,84.1,343,397,115,500,200,230,M16,33,1,2,external
B25161D0400B006,4.16,400,61.3,60,96.2,343,397,115,600,200,230,M16,39,1,2,external
B25161D0500B006,4.16,500,76.7,60,120.2,343,397,138,525,200,230,M16,40,1,2,external
B25161D0050B009,4.8,50,5.8,60,10.4,343,397,115,175,50,230,M12,14,1,2,external
B25161D0100B009,4.8,100,11.5,60,20.8,343,397,115,250,100,230,M12,19,1,2,external
B25161D0150B009,4.8,150,17.3,60,31.3,343,397,115,325,100,230,M12,23,1,2,external
B25161D0200B009,4.8,200,23,60,41.7,343,397,115,400,200,230,M16,27,1,2,external
B25161D0300B009,4.8,300,34.6,60,62.5,343,397,115,550,200,230,M16,36,1,2,external
B25161D0400B009,4.8,400,46.1,60,83.3,343,397,138,600,200,230,M16,44,1,2,external
