Primary kV,Secondary kV,SKU,Primary Voltage,KVA,%Z,X/R,Full load loss [kW],No load loss [kW],Secondary Voltage,Feed,Config.,Bushing Qty,Winding,LBOR,Housing,Pri. BIL,Freq.,Cooling
15 kV,13200GrdY/7620 Primary - 240/120V Secondary,MT-PML-R7-1P-GMQ-37.5KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,13200GrdY/7620,37.5,2.30,1.40,1.05,0.08,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,13200GrdY/7620 Primary - 240/120V Secondary,MT-PML-R7-1P-GMQ-50KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,13200GrdY/7620,50,2.60,1.60,1.20,0.09,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,13200GrdY/7620 Primary - 240/120V Secondary,MT-PML-R7-1P-GMQ-75KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,13200GrdY/7620,75,2.75,1.80,1.50,0.12,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,13200GrdY/7620 Primary - 240/120V Secondary,MT-PML-R7-1P-GMQ-100KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,13200GrdY/7620,100,3.00,2.00,1.75,0.15,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,13200GrdY/7620 Primary - 240/120V Secondary,MT-PML-R7-1P-GMQ-167KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,13200GrdY/7620,167,3.35,2.50,2.35,0.21,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,13200GrdY/7620 Primary - 240/120V Secondary,MT-PML-R7-1P-GMQ-250KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,13200GrdY/7620,250,3.75,3.60,3.25,0.30,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,13200GrdY/7620 Primary - 240/120V Secondary,MT-PML-R7-1P-GMQ-333KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,13200GrdY/7620,333,4.00,4.70,3.90,0.36,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,13200GrdY/7620 Primary - 240/120V Secondary,MT-PML-R7-1P-GMQ-500KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,13200GrdY/7620,500,4.20,5.50,5.50,0.51,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,13200GrdY/7620 Primary - 240/120V Secondary,MT-PML-R7-1P-GMQ-833KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,13200GrdY/7620,833,4.45,6.50,8.40,0.63,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,13200GrdY/7620 Primary - 240/120V Secondary,MT-PML-R5-1P-GMQ-5KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,13200GrdY/7620,5,1.10,1.00,0.80,0.05,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,13200GrdY/7620 Primary - 240/120V Secondary,MT-PML-R5-1P-GMQ-10KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,13200GrdY/7620,10,1.20,1.00,0.80,0.05,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,13200GrdY/7620 Primary - 240/120V Secondary,MT-PML-R5-1P-GMQ-15KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,13200GrdY/7620,15,1.40,1.10,0.90,0.06,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,13200GrdY/7620 Primary - 240/120V Secondary,MT-PML-R5-1P-GMQ-25KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,13200GrdY/7620,25,1.60,1.10,0.90,0.07,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,13200GrdY/7620 Primary - 240/120V Secondary,MT-PML-R5-1P-GMQ-37.5KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,13200GrdY/7620,37.5,2.30,1.40,1.05,0.08,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,13200GrdY/7620 Primary - 240/120V Secondary,MT-PML-R5-1P-GMQ-50KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,13200GrdY/7620,50,2.60,1.60,1.20,0.09,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,13200GrdY/7620 Primary - 240/120V Secondary,MT-PML-R5-1P-GMQ-75KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,13200GrdY/7620,75,2.75,1.80,1.50,0.12,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,13200GrdY/7620 Primary - 240/120V Secondary,MT-PML-R5-1P-GMQ-100KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,13200GrdY/7620,100,3.00,2.00,1.75,0.15,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,13200GrdY/7620 Primary - 240/120V Secondary,MT-PML-R5-1P-GMQ-167KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,13200GrdY/7620,167,3.35,2.50,2.35,0.21,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,13200GrdY/7620 Primary - 240/120V Secondary,MT-PML-R5-1P-GMQ-250KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,13200GrdY/7620,250,3.75,3.60,3.25,0.30,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,13200GrdY/7620 Primary - 240/120V Secondary,MT-PML-R5-1P-GMQ-333KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,13200GrdY/7620,333,4.00,4.70,3.90,0.36,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,13200GrdY/7620 Primary - 240/120V Secondary,MT-PML-R5-1P-GMQ-500KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,13200GrdY/7620,500,4.20,5.50,5.50,0.51,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,13200GrdY/7620 Primary - 240/120V Secondary,MT-PML-R5-1P-GMQ-833KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,13200GrdY/7620,833,4.45,6.50,8.40,0.63,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,13800GrdY/7968 Primary - 240/120V Secondary,MT-PML-R7-1P-GMP-5KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,13800GrdY/7968,5,1.10,1.00,0.80,0.05,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,13800GrdY/7968 Primary - 240/120V Secondary,MT-PML-R7-1P-GMP-10KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,13800GrdY/7968,10,1.20,1.00,0.80,0.05,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,13800GrdY/7968 Primary - 240/120V Secondary,MT-PML-R7-1P-GMP-15KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,13800GrdY/7968,15,1.40,1.10,0.90,0.06,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,13800GrdY/7968 Primary - 240/120V Secondary,MT-PML-R7-1P-GMP-25KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,13800GrdY/7968,25,1.60,1.10,0.90,0.07,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,13800GrdY/7968 Primary - 240/120V Secondary,MT-PML-R7-1P-GMP-37.5KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,13800GrdY/7968,37.5,2.30,1.40,1.05,0.08,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,13800GrdY/7968 Primary - 240/120V Secondary,MT-PML-R7-1P-GMP-50KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,13800GrdY/7968,50,2.60,1.60,1.20,0.09,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,13800GrdY/7968 Primary - 240/120V Secondary,MT-PML-R7-1P-GMP-75KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,13800GrdY/7968,75,2.75,1.80,1.50,0.12,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,13800GrdY/7968 Primary - 240/120V Secondary,MT-PML-R7-1P-GMP-100KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,13800GrdY/7968,100,3.00,2.00,1.75,0.15,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,13800GrdY/7968 Primary - 240/120V Secondary,MT-PML-R7-1P-GMP-167KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,13800GrdY/7968,167,3.35,2.50,2.35,0.21,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,13800GrdY/7968 Primary - 240/120V Secondary,MT-PML-R7-1P-GMP-250KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,13800GrdY/7968,250,3.75,3.60,3.25,0.30,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,13800GrdY/7968 Primary - 240/120V Secondary,MT-PML-R7-1P-GMP-333KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,13800GrdY/7968,333,4.00,4.70,3.90,0.36,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,13800GrdY/7968 Primary - 240/120V Secondary,MT-PML-R7-1P-GMP-500KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,13800GrdY/7968,500,4.20,5.50,5.50,0.51,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,13800GrdY/7968 Primary - 240/120V Secondary,MT-PML-R7-1P-GMP-833KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,13800GrdY/7968,833,4.45,6.50,8.40,0.63,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,13800GrdY/7968 Primary - 240/120V Secondary,MT-PML-R5-1P-GMP-5KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,13800GrdY/7968,5,1.10,1.00,0.80,0.05,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,13800GrdY/7968 Primary - 240/120V Secondary,MT-PML-R5-1P-GMP-10KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,13800GrdY/7968,10,1.20,1.00,0.80,0.05,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,13800GrdY/7968 Primary - 240/120V Secondary,MT-PML-R5-1P-GMP-15KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,13800GrdY/7968,15,1.40,1.10,0.90,0.06,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,13800GrdY/7968 Primary - 240/120V Secondary,MT-PML-R5-1P-GMP-25KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,13800GrdY/7968,25,1.60,1.10,0.90,0.07,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,13800GrdY/7968 Primary - 240/120V Secondary,MT-PML-R5-1P-GMP-37.5KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,13800GrdY/7968,37.5,2.30,1.40,1.05,0.08,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,13800GrdY/7968 Primary - 240/120V Secondary,MT-PML-R5-1P-GMP-50KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,13800GrdY/7968,50,2.60,1.60,1.20,0.09,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,13800GrdY/7968 Primary - 240/120V Secondary,MT-PML-R5-1P-GMP-75KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,13800GrdY/7968,75,2.75,1.80,1.50,0.12,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,13800GrdY/7968 Primary - 240/120V Secondary,MT-PML-R5-1P-GMP-100KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,13800GrdY/7968,100,3.00,2.00,1.75,0.15,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,13800GrdY/7968 Primary - 240/120V Secondary,MT-PML-R5-1P-GMP-167KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,13800GrdY/7968,167,3.35,2.50,2.35,0.21,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,13800GrdY/7968 Primary - 240/120V Secondary,MT-PML-R5-1P-GMP-250KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,13800GrdY/7968,250,3.75,3.60,3.25,0.30,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,13800GrdY/7968 Primary - 240/120V Secondary,MT-PML-R5-1P-GMP-333KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,13800GrdY/7968,333,4.00,4.70,3.90,0.36,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,13800GrdY/7968 Primary - 240/120V Secondary,MT-PML-R5-1P-GMP-500KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,13800GrdY/7968,500,4.20,5.50,5.50,0.51,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,13800GrdY/7968 Primary - 240/120V Secondary,MT-PML-R5-1P-GMP-833KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,13800GrdY/7968,833,4.45,6.50,8.40,0.63,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,14400GrdY/8320 Primary - 240/120V Secondary,MT-PML-R7-1P-GMN-5KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,14400GrdY/8320,5,1.10,1.00,0.80,0.05,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,14400GrdY/8320 Primary - 240/120V Secondary,MT-PML-R7-1P-GMN-10KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,14400GrdY/8320,10,1.20,1.00,0.80,0.05,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,14400GrdY/8320 Primary - 240/120V Secondary,MT-PML-R7-1P-GMN-15KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,14400GrdY/8320,15,1.40,1.10,0.90,0.06,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,14400GrdY/8320 Primary - 240/120V Secondary,MT-PML-R7-1P-GMN-25KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,14400GrdY/8320,25,1.60,1.10,0.90,0.07,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,14400GrdY/8320 Primary - 240/120V Secondary,MT-PML-R7-1P-GMN-37.5KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,14400GrdY/8320,37.5,2.30,1.40,1.05,0.08,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,14400GrdY/8320 Primary - 240/120V Secondary,MT-PML-R7-1P-GMN-50KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,14400GrdY/8320,50,2.60,1.60,1.20,0.09,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,14400GrdY/8320 Primary - 240/120V Secondary,MT-PML-R7-1P-GMN-75KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,14400GrdY/8320,75,2.75,1.80,1.50,0.12,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,14400GrdY/8320 Primary - 240/120V Secondary,MT-PML-R7-1P-GMN-100KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,14400GrdY/8320,100,3.00,2.00,1.75,0.15,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,14400GrdY/8320 Primary - 240/120V Secondary,MT-PML-R7-1P-GMN-167KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,14400GrdY/8320,167,3.35,2.50,2.35,0.21,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,14400GrdY/8320 Primary - 240/120V Secondary,MT-PML-R7-1P-GMN-250KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,14400GrdY/8320,250,3.75,3.60,3.25,0.30,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,14400GrdY/8320 Primary - 240/120V Secondary,MT-PML-R7-1P-GMN-333KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,14400GrdY/8320,333,4.00,4.70,3.90,0.36,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,14400GrdY/8320 Primary - 240/120V Secondary,MT-PML-R7-1P-GMN-500KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,14400GrdY/8320,500,4.20,5.50,5.50,0.51,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,14400GrdY/8320 Primary - 240/120V Secondary,MT-PML-R7-1P-GMN-833KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,14400GrdY/8320,833,4.45,6.50,8.40,0.63,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,14400GrdY/8320 Primary - 240/120V Secondary,MT-PML-R5-1P-GMN-5KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,14400GrdY/8320,5,1.10,1.00,0.80,0.05,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,14400GrdY/8320 Primary - 240/120V Secondary,MT-PML-R5-1P-GMN-10KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,14400GrdY/8320,10,1.20,1.00,0.80,0.05,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,14400GrdY/8320 Primary - 240/120V Secondary,MT-PML-R5-1P-GMN-15KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,14400GrdY/8320,15,1.40,1.10,0.90,0.06,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,14400GrdY/8320 Primary - 240/120V Secondary,MT-PML-R5-1P-GMN-25KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,14400GrdY/8320,25,1.60,1.10,0.90,0.07,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,14400GrdY/8320 Primary - 240/120V Secondary,MT-PML-R5-1P-GMN-37.5KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,14400GrdY/8320,37.5,2.30,1.40,1.05,0.08,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,14400GrdY/8320 Primary - 240/120V Secondary,MT-PML-R5-1P-GMN-50KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,14400GrdY/8320,50,2.60,1.60,1.20,0.09,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,14400GrdY/8320 Primary - 240/120V Secondary,MT-PML-R5-1P-GMN-75KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,14400GrdY/8320,75,2.75,1.80,1.50,0.12,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,14400GrdY/8320 Primary - 240/120V Secondary,MT-PML-R5-1P-GMN-100KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,14400GrdY/8320,100,3.00,2.00,1.75,0.15,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,14400GrdY/8320 Primary - 240/120V Secondary,MT-PML-R5-1P-GMN-167KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,14400GrdY/8320,167,3.35,2.50,2.35,0.21,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,14400GrdY/8320 Primary - 240/120V Secondary,MT-PML-R5-1P-GMN-250KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,14400GrdY/8320,250,3.75,3.60,3.25,0.30,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,14400GrdY/8320 Primary - 240/120V Secondary,MT-PML-R5-1P-GMN-333KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,14400GrdY/8320,333,4.00,4.70,3.90,0.36,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,14400GrdY/8320 Primary - 240/120V Secondary,MT-PML-R5-1P-GMN-500KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,14400GrdY/8320,500,4.20,5.50,5.50,0.51,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,14400GrdY/8320 Primary - 240/120V Secondary,MT-PML-R5-1P-GMN-833KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,14400GrdY/8320,833,4.45,6.50,8.40,0.63,240/120V,Loop,ANSI Type I,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,12000GrdY/6930 Primary - 240/120V Secondary,MT-PML-R7-1P-GMT-5KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,12000GrdY/6930,5,1.10,1.00,0.80,0.05,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,12000GrdY/6930 Primary - 240/120V Secondary,MT-PML-R7-1P-GMT-10KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,12000GrdY/6930,10,1.20,1.00,0.80,0.05,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,12000GrdY/6930 Primary - 240/120V Secondary,MT-PML-R7-1P-GMT-15KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,12000GrdY/6930,15,1.40,1.10,0.90,0.06,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,12000GrdY/6930 Primary - 240/120V Secondary,MT-PML-R7-1P-GMT-25KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,12000GrdY/6930,25,1.60,1.10,0.90,0.07,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,12000GrdY/6930 Primary - 240/120V Secondary,MT-PML-R7-1P-GMT-37.5KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,12000GrdY/6930,37.5,2.30,1.40,1.05,0.08,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,12000GrdY/6930 Primary - 240/120V Secondary,MT-PML-R7-1P-GMT-50KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,12000GrdY/6930,50,2.60,1.60,1.20,0.09,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
15 kV,12000GrdY/6930 Primary - 240/120V Secondary,MT-PML-R7-1P-GMT-75KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,12000GrdY/6930,75,2.75,1.80,1.50,0.12,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,95 Kv,60 Hz,KNAN
